coord_id,w2v_sentence
1382633382875558464,상의_blue_cotton_셔츠/블라우스_남성_봄_minimal 상의_white_cotton_민소매 티셔츠_남성_봄_minimal 하의_beige_cotton_코튼 팬츠_남성_봄_minimal 신발_black_leather_샌들/슬리퍼_남성_봄_minimal 상의_blue_cotton_셔츠/블라우스_남성_봄_minimal 상의_white_cotton_민소매 티셔츠_남성_봄_minimal 하의_beige_cotton_코튼 팬츠_남성_봄_minimal 신발_black_leather_샌들/슬리퍼_남성_봄_minimal
1381901992622994161,상의_gray_cotton_피케/카라 티셔츠_남성_여름_minimal 상의_blue_denim_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1381905177763091057,상의_black_cotton_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_beige_leather_구두_남성_여름_minimal
1381909888208998239,상의_gray_polyester_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1381890920127763931,상의_beige_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_black_cotton_코튼 팬츠_남성_여름_minimal 신발_white_leather_샌들/슬리퍼_남성_여름_minimal
1381889622300143336,상의_green_cotton_셔츠/블라우스_남성_여름_minimal 상의_beige_cotton_민소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1381890178686070426,상의_white_cotton_피케/카라 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1381886607307747438,상의_black_cotton_반소매 티셔츠_남성_여름_minimal 하의_gray_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_black_leather_스니커즈_남성_여름_minimal
1381903934214697925,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_black_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1381900746129606853,상의_beige_cotton_셔츠/블라우스_남성_여름_minimal 하의_black_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1381901311733923898,상의_navy_cotton_니트/스웨터_남성_여름_minimal 하의_gray_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1381884553525189802,상의_gray_cotton_니트/스웨터_남성_여름_minimal 하의_black_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1381885230456991787,상의_pink_cotton_셔츠/블라우스_남성_여름_minimal 하의_navy_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_white_leather_스니커즈_남성_여름_minimal
1381900065260952710,아우터_beige_cotton_카디건_남성_여름_minimal 상의_white_polyester_셔츠/블라우스_남성_여름_minimal 하의_black_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1380535286917037507,상의_purple_cotton_니트/스웨터_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1380544973777655890,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 상의_beige_cotton_민소매 티셔츠_남성_여름_minimal 하의_gray_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1380130849135360517,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1380130493993789275,상의_navy_cotton_니트/스웨터_남성_여름_minimal 상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_white_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1380534277981401757,상의_black_cotton_반소매 티셔츠_남성_여름_minimal 하의_green_cotton_기타 하의_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1380130192532619175,상의_white_cotton_셔츠/블라우스_남성_봄_minimal 상의_beige_cotton_민소매 티셔츠_남성_봄_minimal 하의_brown_cotton_코튼 팬츠_남성_봄_minimal 신발_brown_leather_샌들/슬리퍼_남성_봄_minimal
1380133058421697183,상의_gray_cotton_니트/스웨터_남성_여름_minimal 상의_black_cotton_반소매 티셔츠_남성_여름_minimal 하의_gray_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1380127258387128881,상의_navy_cotton_니트/스웨터_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1380133366044520948,상의_black_cotton_피케/카라 티셔츠_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_beige_cotton_숏 팬츠_남성_여름_minimal 신발_black_leather_구두_남성_여름_minimal
1380537776156940513,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 상의_brown_cotton_민소매 티셔츠_남성_여름_minimal 하의_gray_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1380533640106061787,상의_gray_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_gray_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_red_leather_샌들/슬리퍼_남성_여름_minimal
1380538769315380031,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_brown_cotton_코튼 팬츠_남성_여름_minimal
1380541955922524670,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 상의_black_cotton_민소매 티셔츠_남성_여름_minimal 하의_gray_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1380528886527756705,상의_black_cotton_셔츠/블라우스_남성_여름_minimal 상의_white_cotton_반소매 티셔츠_남성_여름_minimal 하의_black_polyester_기타 하의_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1380538289881600331,상의_gray_cotton_반소매 티셔츠_남성_여름_minimal 하의_gray_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal 상의_gray_cotton_반소매 티셔츠_남성_여름_minimal 하의_gray_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1380542755558497327,상의_gray_cotton_반소매 티셔츠_남성_여름_minimal 하의_blue_cotton_데님 팬츠_남성_여름_minimal 상의_gray_cotton_반소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal
1380127719324974276,상의_gray_cotton_니트/스웨터_남성_여름_minimal 상의_yellow_cotton_셔츠/블라우스_남성_여름_minimal 하의_white_denim_숏 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1380126888037963129,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 상의_gray_cotton_민소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1380539602280747295,상의_beige_cotton_니트/스웨터_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1379447743978511821,상의_yellow_cotton_셔츠/블라우스_남성_여름_minimal 하의_green_cotton_숏 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1379448460041759041,상의_gray_cotton_니트/스웨터_남성_여름_minimal 상의_black_cotton_반소매 티셔츠_남성_여름_minimal 하의_gray_denim_데님 팬츠_남성_여름_minimal 신발_black_leather_부츠/워커_남성_여름_minimal
1379447535923950264,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_blue_denim_데님 팬츠_남성_여름_minimal 신발_brown_leather_부츠/워커_남성_여름_minimal
1379443720127484750,상의_beige_cotton_반소매 티셔츠_남성_여름_minimal 상의_navy_cotton_반소매 티셔츠_남성_여름_minimal 하의_navy_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1379445611397877938,상의_beige_cotton_셔츠/블라우스_남성_여름_minimal 하의_black_denim_숏 팬츠_남성_여름_minimal 신발_brown_leather_구두_남성_여름_minimal
1379447223201042057,상의_white_cotton_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_숏 팬츠_남성_여름_minimal 신발_gray_leather_스니커즈_남성_여름_minimal
1379448736187156379,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_gray_polyester_숏 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
1379444888147918505,상의_red_cotton_셔츠/블라우스_남성_여름_minimal 상의_black_cotton_민소매 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1379444196817767074,상의_gray_cotton_반소매 티셔츠_남성_여름_minimal 하의_gray_polyester_슈트 팬츠/슬랙스_남성_여름_minimal 신발_black_leather_샌들/슬리퍼_남성_여름_minimal
1379446820551240757,상의_black_denim_셔츠/블라우스_남성_여름_minimal 하의_black_denim_데님 팬츠_남성_여름_minimal 신발_red_leather_샌들/슬리퍼_남성_여름_minimal
1378700706931768718,상의_blue_cotton_셔츠/블라우스_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_white_leather_스니커즈_남성_여름_minimal
1378692944372371304,상의_beige_cotton_니트/스웨터_남성_여름_minimal 상의_white_cotton_민소매 티셔츠_남성_여름_minimal 하의_beige_cotton_코튼 팬츠_남성_여름_minimal 신발_brown_leather_샌들/슬리퍼_남성_여름_minimal
